Name,Date,Location,Type,Region,Weather
The Fifth Avenue Theatre’s Show Talk Series,2/3/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of snow showers. Mostly cloudy. Low around 29, with temperatures rising to around 31 overnight. South southeast wind around 5 mph. Chance of precipitation is 30%. New snow accumulation of less than half an inch possible."
350’s,2/4/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of snow showers. Mostly cloudy, with a high near 36. Northeast wind around 6 mph. Chance of precipitation is 50%. New snow accumulation of less than half an inch possible."
Chris Hayes,2/4/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of snow showers before 1pm, then a chance of rain showers between 1pm and 4pm, then a chance of rain and snow showers. Mostly cloudy, with a high near 36. Wind chill values as low as 25. Northeast wind around 6 mph. Chance of precipitation is 50%. New snow accumulation of less than half an inch possible."
Cursive,2/4/2025,The Crocodile,Music,Downtown,"A chance of snow showers before 10am, then a chance of rain showers between 10am and 4pm, then a chance of rain and snow showers. Mostly cloudy, with a high near 37. Northeast wind around 5 mph. Chance of precipitation is 50%. New snow accumulation of less than half an inch possible."
Eivor – North American Tour 2025,2/4/2025,The Neptune Theatre,Music,University District,"A chance of snow showers before 9am, then a chance of rain showers between 9am and 4pm, then a chance of rain and snow showers. Mostly cloudy, with a high near 37. Northeast wind around 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Literary Arts: Michele Norris,2/4/2025,Benaroya Hall,Readings & Lectures,Downtown,"A chance of snow showers before 9am, then a chance of rain showers between 9am and 4pm, then a chance of rain and snow showers. Mostly cloudy, with a high near 37. Northeast wind around 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Paula Fuga,2/4/2025,The Triple Door,Music,Downtown,"A chance of snow showers before 9am, then a chance of rain showers between 9am and 4pm, then a chance of rain and snow showers. Mostly cloudy, with a high near 37. Northeast wind around 6 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Blowout Heavies Brass Band Jam,2/5/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of snow showers before 4pm, then a chance of rain and snow showers. Mostly cloudy, with a high near 37. Chance of precipitation is 50%. New snow accumulation of less than half an inch possible."
Genghis Barbie,2/5/2025,The Royal Room,Music,South Seattle,"A chance of snow showers. Mostly cloudy, with a high near 36. Chance of precipitation is 50%. New snow accumulation of less than half an inch possible."
Shelby Natasha,2/5/2025,Tractor Tavern,Music,Fremont / Ballard,"Snow showers likely. Mostly cloudy, with a high near 36. Chance of precipitation is 60%. New snow accumulation of less than half an inch possible."
Catch Your Breath – The Broken Souls Tour,2/6/2025,The Crocodile,Music,Downtown,"A chance of snow showers before 4pm, then a slight chance of rain and snow showers. Partly sunny, with a high near 38."
Dean Friedman,2/6/2025,The Royal Room,Music,South Seattle,"A chance of snow showers before 1pm, then a slight chance of rain and snow showers between 1pm and 4pm. Partly sunny, with a high near 36."
Dream Circuit,2/6/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of snow showers before 1pm, then a slight chance of rain and snow showers between 1pm and 4pm. Partly sunny, with a high near 37."
Lightnin’ Luke,2/6/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of snow showers before 1pm, then a slight chance of rain and snow showers. Partly sunny, with a high near 38."
After Party: Campana,2/7/2025,Bainbridge Island Museum of Art,Music,West,"A chance of snow showers before 10am, then a chance of rain and snow showers. Partly sunny, with a high near 38."
Aquarius Birthday Show,2/7/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain and snow showers. Partly sunny, with a high near 39."
David Gray – Past and Present Tour,2/7/2025,The Moore Theatre,Music,Downtown,"A chance of snow showers before 4pm, then a chance of rain and snow showers. Partly sunny, with a high near 39."
Joe Casalini Trio,2/7/2025,The Royal Room,Music,South Seattle,"A chance of snow showers before 10am, then a chance of rain and snow showers. Partly sunny, with a high near 39."
Ms. Pat: The Hot and Flashy Tour,2/7/2025,The Neptune Theatre,Theatre,University District,"A chance of snow showers before 1pm, then a chance of rain and snow showers. Partly sunny, with a high near 39."
The Mother Hips,2/7/2025,Tractor Tavern,Music,Fremont / Ballard,"A chance of snow showers. Partly sunny, with a high near 38."
Youth Fountain,2/7/2025,Funhouse,Music,Capitol Hill / Central District,"A chance of snow showers before 1pm, then a chance of rain and snow showers. Partly sunny, with a high near 38."
An Evening with Shafty,2/8/2025,High Dive,Music,Fremont / Ballard,"A chance of snow showers before 4pm, then a chance of rain and snow showers. Partly sunny, with a high near 41."
Artist Talk: Wait… What are you?,2/8/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of snow showers. Partly sunny, with a high near 40."
Awesome,2/8/2025,Town Hall Seattle,Music,Downtown,"A chance of snow showers before 1pm, then a chance of rain and snow showers. Partly sunny, with a high near 41. New snow accumulation of less than half an inch possible."
Brilliantz – Stevie Wonder Tribute,2/8/2025,The Royal Room,Music,South Seattle,"A chance of snow showers before 1pm, then a chance of rain and snow showers. Partly sunny, with a high near 41. New snow accumulation of less than half an inch possible."
CenterPiece Jazz Band,2/8/2025,The Royal Room,Music,South Seattle,"A chance of snow showers. Partly sunny, with a high near 40."
Chaser,2/8/2025,Funhouse,Music,Capitol Hill / Central District,"A chance of snow showers before 4pm, then a chance of rain and snow showers. Partly sunny, with a high near 41."
Tom Papa: Grateful Bread Tour,2/8/2025,The Moore Theatre,Theatre,Downtown,"A chance of snow showers before 1pm, then a chance of rain and snow showers. Partly sunny, with a high near 40."
Wunderhorse,2/8/2025,The Crocodile,Music,Downtown,"A chance of snow showers before 1pm, then a chance of rain and snow showers. Partly sunny, with a high near 40."
Bien,2/9/2025,Neumos,Music,Capitol Hill / Central District,"A chance of snow showers before 1pm, then a chance of rain showers between 1pm and 5pm. Partly sunny, with a high near 41."
Celebrating Black Voices Film Fest,2/9/2025,Bainbridge Island Museum of Art,Museums,West,"A chance of snow showers before 1pm, then a chance of rain showers between 1pm and 5pm. Partly sunny, with a high near 41."
Luca Ciarla Mediterramìa,2/9/2025,The Royal Room,Music,South Seattle,"A chance of snow showers before 1pm, then a chance of rain showers between 1pm and 5pm. Partly sunny, with a high near 41."
Samay Raina,2/9/2025,The Moore Theatre,Theatre,Downtown,"A chance of snow showers before 1pm, then a chance of rain showers between 1pm and 5pm. Partly sunny, with a high near 40."
