Name,Date,Location,Type,Region,Weather
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,"A chance of rain. Cloudy, with a low around 41. Southeast wind around 3 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Dr. Joy Buolamwini,2/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain. Cloudy, with a low around 41. Southeast wind around 3 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
La Nef: Red Sky at Night,2/18/2024,Town Hall Seattle,Music,Downtown,"A chance of rain. Cloudy, with a low around 42. Southeast wind around 5 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Love Beyond Border,2/18/2024,Benaroya Hall,Music,Downtown,"A chance of rain. Cloudy, with a low around 41. Southeast wind around 3 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,"A chance of rain. Cloudy, with a low around 41. South southeast wind around 5 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Skyler Floe Sextet,2/18/2024,The Royal Room,Music,South Seattle,"A chance of rain. Cloudy, with a low around 41. South southeast wind around 5 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Steamboat – Nokosee Fields Trio,2/18/2024,The Royal Room,Music,South Seattle,"A chance of rain. Cloudy, with a low around 41. Southeast wind around 3 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Community is a Radical Act of Love,2/19/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain before 4pm. Mostly cloudy, with a high near 49. North northeast wind around 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A chance of rain before 4pm. Mostly cloudy, with a high near 48. Northeast wind around 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,"A chance of rain before 4pm. Mostly cloudy, with a high near 49. North northeast wind around 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,"A chance of rain before 10am, then a chance of rain showers. Mostly cloudy, with a high near 52. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,"A chance of rain before 10am, then a chance of rain showers. Mostly cloudy, with a high near 52. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,"A chance of rain before 10am, then a chance of rain showers. Mostly cloudy, with a high near 52. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain before 10am, then a chance of rain showers. Mostly cloudy, with a high near 51. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,"A chance of rain before 10am, then a chance of rain showers. Mostly cloudy, with a high near 53. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,"A chance of rain before 10am, then a chance of rain showers. Mostly cloudy, with a high near 52. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
A I M by Kyle Abraham,2/21/2024,The Moore Theatre,Dance,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 51."
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 51."
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 51."
Bailen,2/22/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 54."
Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 55."
Jack Parker,2/22/2024,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 54."
Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 54."
Northwest Blues Stars,2/22/2024,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 54."
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"Mostly sunny, with a high near 54."
Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 54."
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,"Partly sunny, with a high near 53."
Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown,"Partly sunny, with a high near 53."
Lisa Koch Big Ass Birthday Bash,2/23/2024,The Triple Door,Music,Downtown,"Partly sunny, with a high near 53."
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,"Mostly sunny, with a high near 55."
Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle,"Partly sunny, with a high near 53."
Wreckno,2/23/2024,The Showbox,Music,Downtown,"Mostly sunny, with a high near 54."
Bassekou Kouyate and Vieux Farka Toure,2/24/2024,Town Hall Seattle,Music,Downtown,"A chance of rain after 10am. Partly sunny, with a high near 52."
Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard,"A chance of rain after 10am. Partly sunny, with a high near 52."
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,"A chance of rain after 10am. Partly sunny, with a high near 52."
Dana Gould and Bobcat Goldthwait,2/24/2024,The Triple Door,Theatre,Downtown,"A chance of rain after 10am. Partly sunny, with a high near 52."
Knoll,2/24/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain after 10am. Partly sunny, with a high near 52."
Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown,"A chance of rain after 10am. Partly sunny, with a high near 52."
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,"A chance of rain after 10am. Partly sunny, with a high near 52."
Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown,"A chance of rain after 10am. Partly sunny, with a high near 52."
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A chance of rain after 10am. Partly sunny, with a high near 54."
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,"A chance of rain after 10am. Partly sunny, with a high near 54."
The Highsteppers Classic Soul Revue,2/24/2024,The Royal Room,Music,South Seattle,"A chance of rain after 10am. Partly sunny, with a high near 52."
Tides of Times: A Conversation on Maritime Asia in Art and Trade,2/24/2024,Seattle Art Museum,Museums,Downtown,"A chance of rain after 10am. Partly sunny, with a high near 53."
