Name,Date,Location,Type,Region,Weather
Pegboy,9/2/2024,El Corazon,Music,Downtown,"Mostly cloudy, with a high near 70. South southwest wind 3 to 7 mph."
Steamroller,9/2/2024,High Dive,Music,Fremont / Ballard,"Mostly cloudy, with a high near 73. South southwest wind 3 to 7 mph."
Artists At the Center: VCBynum Arts and Education,9/3/2024,Seattle Center Armory,Dance,Queen Anne / Seattle Center,"Partly sunny, with a high near 74. West southwest wind around 3 mph."
Boy & Bear,9/3/2024,The Crocodile,Music,Downtown,"Partly sunny, with a high near 74. West southwest wind around 5 mph."
Calling All Captains,9/3/2024,Funhouse,Music,Capitol Hill / Central District,"Partly sunny, with a high near 74. West southwest wind around 3 mph."
"Chicago and Earth, Wind & Fire,",9/3/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,"Partly sunny, with a high near 73. West southwest wind around 5 mph."
Mk.gee,9/3/2024,Showbox SoDo,Music,Pioneer Square,"Partly sunny, with a high near 73. West southwest wind around 3 mph."
PeelingFlesh,9/3/2024,El Corazon,Music,Downtown,"Partly sunny, with a high near 74. West southwest wind around 3 mph."
The 350’s,9/3/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Partly sunny, with a high near 73. West southwest wind around 5 mph."
Def Leppard & Journey,9/4/2024,T-Mobile Park,Music,Pioneer Square,"Sunny, with a high near 76. North wind around 7 mph."
Devil’s Advocate,9/4/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 74. North wind 5 to 8 mph."
Ice Cream Cult,9/4/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 74. North wind 5 to 8 mph."
Jesus Adrian Romero,9/4/2024,The Moore Theatre,Music,Downtown,"Sunny, with a high near 75. North wind 5 to 8 mph."
Soft Self Portraits,9/4/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 75. North wind around 7 mph."
Blowout Heavies Brass Band Jam,9/5/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 83."
Gilligan Moss,9/5/2024,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 84."
Great Women of Folk and Country,9/5/2024,The Royal Room,Music,South Seattle,"Sunny, with a high near 80."
Greta Matassa’s Birthday Party,9/5/2024,The Triple Door,Music,Downtown,"Sunny, with a high near 80."
Joeyy,9/5/2024,The Showbox,Music,Downtown,"Sunny, with a high near 81."
Love So Deep,9/5/2024,Tractor Tavern,Music,Fremont / Ballard,"Sunny, with a high near 82."
Marmalade,9/5/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Sunny, with a high near 80."
Natalia Jimenez,9/5/2024,The Moore Theatre,Music,Downtown,"Sunny, with a high near 82."
Nerd Halen,9/5/2024,The Crocodile,Music,Downtown,"Sunny, with a high near 79."
Nightmares On Wax,9/5/2024,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 84."
Oteil and Friends,9/5/2024,The Neptune Theatre,Music,University District,"Sunny, with a high near 83."
Rusholme Ruffians,9/5/2024,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 79."
The Gemini Affair,9/5/2024,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 79."
The Magic Beans,9/5/2024,High Dive,Music,Fremont / Ballard,"Sunny, with a high near 80."
After Party: Warren Dunes,9/6/2024,Bainbridge Island Museum of Art,Music,West,"Sunny, with a high near 80."
Burlesque at the Tractor,9/6/2024,Tractor Tavern,Theatre,Fremont / Ballard,"Sunny, with a high near 81."
