Name,Date,Location,Type,Region,Weather
Awolnation,5/5/2025,The Showbox,Music,Downtown,"Sunny, with a high near 65. North wind 2 to 8 mph."
Bab L’ Bluz,5/5/2025,Nectar Lounge,Music,Fremont / Ballard,"Sunny, with a high near 64. North wind 2 to 9 mph."
BabyJake,5/5/2025,Sunset Tavern,Music,Fremont / Ballard,"Sunny, with a high near 67. North wind 2 to 7 mph."
L.S. Dunes,5/5/2025,The Crocodile,Music,Downtown,"Sunny, with a high near 68. North wind 2 to 7 mph."
Mark Winters,5/5/2025,Funhouse,Music,Capitol Hill / Central District,"Sunny, with a high near 68. North wind 2 to 7 mph."
Teenage Dads,5/5/2025,Barboza,Music,Capitol Hill / Central District,"Sunny, with a high near 68. North wind 2 to 7 mph."
Vince Beiser,5/5/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Sunny, with a high near 68. North wind 2 to 7 mph."
Calum Graham,5/6/2025,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 77. Northwest wind around 3 mph."
Chase Shakur,5/6/2025,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 77. Northwest wind around 3 mph."
Christine Wenc,5/6/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 76. North northwest wind 1 to 5 mph."
Circa Waves x Friday Pilots Club,5/6/2025,The Showbox,Music,Downtown,"Mostly sunny, with a high near 77. North northwest wind around 3 mph."
Dean Lewis,5/6/2025,Showbox SoDo,Music,Pioneer Square,"Mostly sunny, with a high near 78. North northwest wind around 3 mph."
Ebo Taylor and Pat Thomas,5/6/2025,The Neptune Theatre,Music,University District,"Mostly sunny. High near 75, with temperatures falling to around 73 in the afternoon. North northwest wind around 5 mph."
Ian George,5/6/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 76. North northwest wind 1 to 5 mph."
Jim Messina,5/6/2025,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 77. Northwest wind around 3 mph."
Karen Polinsky and Ian Mackay,5/6/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 76. North northwest wind 1 to 5 mph."
Sam Morril: The Errors Tour,5/6/2025,The Moore Theatre,Theatre,Downtown,"Mostly sunny, with a high near 77. North northwest wind around 3 mph."
The 350’s,5/6/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 77. North northwest wind around 3 mph."
Tribulation,5/6/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 77. North northwest wind around 3 mph."
VENJENT,5/6/2025,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 76. North northwest wind 1 to 5 mph."
Bitch Sesh,5/7/2025,The Moore Theatre,Music,Downtown,"A chance of rain showers after 11am. Partly sunny, with a high near 64. South southwest wind 2 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Blowout Heavies Brass Band Jam,5/7/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"A chance of rain showers after 11am. Partly sunny, with a high near 65. South southwest wind 2 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Craig Mundie and Dr. Jim Heath,5/7/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers after 11am. Partly sunny, with a high near 65. South southwest wind 2 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Grails,5/7/2025,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers after 11am. Partly sunny, with a high near 63. South southwest wind 3 to 9 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Kendall Lujan,5/7/2025,Sunset Tavern,Music,Fremont / Ballard,"A chance of rain showers after 11am. Partly sunny, with a high near 65. South southwest wind 2 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Mai Der Vang,5/7/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"A chance of rain showers after 11am. Partly sunny, with a high near 65. South southwest wind 3 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Marc Scibilia,5/7/2025,The Crocodile,Music,Downtown,"A chance of rain showers after 11am. Partly sunny, with a high near 64. South southwest wind 2 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
ONEWE,5/7/2025,El Corazon,Music,Downtown,"A chance of rain showers after 5pm. Partly sunny, with a high near 66. South southwest wind 2 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Opera On Tap,5/7/2025,The Royal Room,Music,South Seattle,"A chance of rain showers after 11am. Partly sunny, with a high near 65. South southwest wind 2 to 6 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
The Moss,5/7/2025,The Neptune Theatre,Music,University District,"A chance of rain showers after 11am. Partly sunny, with a high near 65. South southwest wind 2 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
UW Science Now,5/7/2025,Town Hall Seattle,Readings & Lectures,Downtown,"A chance of rain showers after 11am. Partly sunny, with a high near 64. South southwest wind 2 to 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Anees,5/8/2025,The Showbox,Music,Downtown,"Mostly sunny, with a high near 63."
Brian Kimmel,5/8/2025,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 63."
C Pam Zhang,5/8/2025,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 61."
Dirtwire,5/8/2025,The Showbox,Music,Downtown,"Mostly sunny, with a high near 61."
Finding Peace: 1st Annual Korean Heritage Night,5/8/2025,Bainbridge Island Museum of Art,Museums,West,"Mostly sunny, with a high near 61."
Guardin,5/8/2025,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 62."
Manazma Sheen,5/8/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 62."
Mentallo and the Fixer,5/8/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 63."
Nora En Pure,5/8/2025,Showbox SoDo,Music,Pioneer Square,"Mostly sunny, with a high near 63."
Northwest Terror Fest,5/8/2025,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 62."
Paige Sandusky,5/8/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 60."
Radio Weekend,5/8/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 62."
The Funky Titanics,5/8/2025,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 63."
The Oc34n,5/8/2025,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 63."
Thimastr,5/8/2025,Funhouse,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 63."
A Place to Call Home,5/9/2025,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 69."
Ben’s Birthday CellObration!,5/9/2025,Town Hall Seattle,Music,Downtown,"Mostly sunny, with a high near 67."
Dreaming in Analog,5/9/2025,The Moore Theatre,Music,Downtown,"Mostly sunny, with a high near 66."
Ethan Tasch,5/9/2025,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 70."
Joe Casalini Trio,5/9/2025,The Royal Room,Music,South Seattle,"Mostly sunny, with a high near 68."
Leftover Crack,5/9/2025,El Corazon,Music,Downtown,"Mostly sunny, with a high near 67."
The Hard Quartet,5/9/2025,The Showbox,Music,Downtown,"Mostly sunny, with a high near 67."
Victor Wooten and The Wooten Brothers,5/9/2025,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 69."
Alejandro Fernandez,5/10/2025,WaMu Theater,Music,Pioneer Square,"Partly sunny, with a high near 69."
Artists’ Talk: Urban Sketchers Bainbridge,5/10/2025,Bainbridge Island Museum of Art,Museums,West,"Partly sunny, with a high near 69."
Festal: Spirit of Africa,5/10/2025,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,"Partly sunny, with a high near 71."
Golden West,5/10/2025,The Royal Room,Music,South Seattle,"Partly sunny, with a high near 69."
Kaivon,5/10/2025,The Showbox,Music,Downtown,"Partly sunny, with a high near 70."
Mayday Parade,5/10/2025,Showbox SoDo,Music,Pioneer Square,"Partly sunny, with a high near 67."
MURS with Platinum Max,5/10/2025,Nectar Lounge,Music,Fremont / Ballard,"Partly sunny, with a high near 69."
Nekrogoblikon,5/10/2025,El Corazon,Music,Downtown,"Partly sunny, with a high near 67."
Old Coast,5/10/2025,Sunset Tavern,Music,Fremont / Ballard,"Partly sunny, with a high near 70."
