Name,Date,Location,Type,Region,Weather
As of late – Nixo Fortune and Neves,5/23/2024,Rendezvous JewelBox Theater,Music,Downtown,"Mostly sunny, with a high near 66. South southwest wind around 9 mph."
Billy Marchiafava,5/23/2024,Barboza,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 67. South wind 7 to 10 mph."
Cedric Burnside,5/23/2024,Tractor Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 64. South wind 7 to 10 mph."
Clash Valian,5/23/2024,High Dive,Music,Fremont / Ballard,"Mostly sunny, with a high near 66. South wind around 9 mph."
Dylan Hayes,5/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,"Mostly sunny, with a high near 66. South southwest wind around 9 mph."
Ekkstacy,5/23/2024,Neumos,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 64. South wind 7 to 10 mph."
Living Daylights,5/23/2024,Nectar Lounge,Music,Fremont / Ballard,"Mostly sunny, with a high near 66. South southwest wind around 9 mph."
Melissa Broder,5/23/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,"Mostly sunny, with a high near 65. South wind around 9 mph."
Melt-Banana,5/23/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 66. South southwest wind around 9 mph."
Moonlight Remedy,5/23/2024,Chop Suey,Music,Capitol Hill / Central District,"Mostly sunny, with a high near 66. South southwest wind around 9 mph."
Peter Harnik,5/23/2024,Town Hall Seattle,Readings & Lectures,Downtown,"Mostly sunny, with a high near 65. South wind 9 to 14 mph."
Project Aurora: Panel Discussion,5/23/2024,National Nordic Museum,Museums,Fremont / Ballard,"Mostly sunny, with a high near 65. South wind 9 to 14 mph."
Sour Fuzz,5/23/2024,Sunset Tavern,Music,Fremont / Ballard,"Mostly sunny, with a high near 65. South wind around 9 mph."
The Strumbellas – Part Time Believer Tour,5/23/2024,The Crocodile,Music,Downtown,"Mostly sunny, with a high near 64. South southwest wind around 10 mph."
tu-NER,5/23/2024,The Triple Door,Music,Downtown,"Mostly sunny, with a high near 66. South southwest wind around 9 mph."
Anima!,5/24/2024,Barboza,Music,Capitol Hill / Central District,"A chance of rain showers after 7am. Partly sunny. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind around 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Freddy Fuego,5/24/2024,The Royal Room,Music,South Seattle,"A chance of rain showers after 7am. Partly sunny. High near 64, with temperatures falling to around 62 in the afternoon. Southwest wind 5 to 8 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Kumar Sanu and Sadhana Sargam,5/24/2024,The Paramount Theatre,Music,Downtown,"A chance of rain showers after 7am. Mostly cloudy. High near 63, with temperatures falling to around 61 in the afternoon. South southwest wind around 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Lovely Colours,5/24/2024,High Dive,Music,Fremont / Ballard,"A chance of rain showers after 7am. Partly sunny. High near 62, with temperatures falling to around 60 in the afternoon. South southwest wind around 9 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Psychedelic Porn Crumpets,5/24/2024,The Showbox,Music,Downtown,"A chance of rain showers after 7am. Mostly cloudy, with a high near 63. Southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
Roc Marciano,5/24/2024,The Crocodile,Music,Downtown,"A chance of rain showers after 7am. Partly sunny. High near 62, with temperatures falling to around 60 in the afternoon. South southwest wind around 9 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Shelby Earl,5/24/2024,The Triple Door,Music,Downtown,"A chance of rain showers after 7am. Partly sunny. High near 62, with temperatures falling to around 60 in the afternoon. South southwest wind around 9 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
The Big Burlesqueski,5/24/2024,Rendezvous JewelBox Theater,Theatre,Downtown,"A chance of rain showers. Partly sunny. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind 5 to 8 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
The Young Fresh Fellows,5/24/2024,Tractor Tavern,Music,Fremont / Ballard,"A chance of rain showers after 7am. Partly sunny. High near 64, with temperatures falling to around 62 in the afternoon. Southwest wind 5 to 8 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
This Will Destroy You,5/24/2024,Neumos,Music,Capitol Hill / Central District,"A chance of rain showers after 7am. Partly sunny. High near 65, with temperatures falling to around 63 in the afternoon. South southwest wind around 7 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Wanderers by Trade: Bob Dylan’s Birthday Bash,5/24/2024,The Royal Room,Music,South Seattle,"A chance of rain showers after 7am. Partly sunny. High near 62, with temperatures falling to around 60 in the afternoon. South southwest wind around 9 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Big Bubble Rave,5/25/2024,El Corazon,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 59. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Boeing Employee Concert Band Memorial Day Weekend Concert,5/25/2024,The Museum of Flight,Music,South Seattle,"A chance of rain showers. Mostly cloudy, with a high near 60. South southwest wind 3 to 7 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Christ Dillinger,5/25/2024,The Neptune Theatre,Music,University District,"A chance of rain showers. Mostly cloudy, with a high near 59. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
For The Girls Tour,5/25/2024,The Crocodile,Theatre,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 59. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
House of Disco,5/25/2024,Chop Suey,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 58. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Kalimba: The Spirit of Earth Wind and Fire,5/25/2024,The Triple Door,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 59. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Profanatica,5/25/2024,Funhouse,Music,Capitol Hill / Central District,"A chance of rain showers. Mostly cloudy, with a high near 60. South southwest wind 5 to 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Renata Alves Full Band Show,5/25/2024,The Royal Room,Music,South Seattle,"A chance of rain showers. Mostly cloudy, with a high near 58. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Ride,5/25/2024,The Showbox,Music,Downtown,"A chance of rain showers. Mostly cloudy, with a high near 59. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
Seattle Storm vs. Washington Mystics,5/25/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,"A chance of rain showers. Mostly cloudy, with a high near 60. South southwest wind 5 to 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
The Wildwoods,5/25/2024,The Royal Room,Music,South Seattle,"A chance of rain showers. Mostly cloudy, with a high near 59. South southwest wind around 8 mph. Chance of precipitation is 30%. New rainfall amounts less than a tenth of an inch possible."
